"学名","汉语名","英名","西班牙名","记录数","百分比"
"Streptopelia orientalis","山斑鸠","Oriental Turtle Dove","Tórtola oriental","11","0.26"
"Sitta frontalis","绒额䴓","Velvet-fronted Nuthatch","Trepador piquirrojo","11","0.26"
"Pomatorhinus gravivox",NULL,NULL,NULL,"11","0.26"
"Niltava sundara","棕腹仙鹟","Rufous-bellied Niltava","Papamoscas sundara","11","0.26"
"Ictinaetus malayensis",NULL,NULL,NULL,"11","0.26"
"Hypothymis azurea","黑枕王鹟","Black-naped Monarch","Monarca nuquinegro","11","0.26"
"Turdus boulboul","灰翅鸫","Grey-winged Blackbird","Mirlo aligrís","11","0.26"
"Garrulax chinensis",NULL,NULL,NULL,"11","0.26"
"Dicaeum minullum","纯色啄花鸟","Plain Flowerpecker","Picaflores sencillo","10","0.24"
"Hemixos flavala","灰短脚鹎","Ashy Bulbul","Bulbul ceniciento","10","0.24"
"Parus monticolus","绿背山雀","Green-backed Tit","Carbonero dorsiverde","10","0.24"
"Oriolus traillii","朱鹂","Maroon Oriole","Oropéndola granate","10","0.24"
"Microhierax caerulescens","红腿小隼","Collared Falconet","Falconete acollarado","10","0.24"
"Yuhina flavicollis","黄颈凤鹛","Whiskered Yuhina","Yuhina bigotuda","10","0.24"
"Pomatorhinus ochraceiceps","棕头钩嘴鹛","Red-billed Scimitar Babbler","Cimitarra piquirroja","10","0.24"
"Hemiprocne coronata","凤头雨燕","Crested Treeswift","Vencejo arborícola coronado","10","0.24"
"Lophura leucomelanos","黑鹇","Kalij Pheasant","Faisán kálij","10","0.24"
"Phoenicurus frontalis","蓝额红尾鸲","Blue-fronted Redstart","Colirrojo frentiazul","10","0.24"
"Ciconia nigra","黑鹳","Black Stork","Cigüeña negra","10","0.24"
"Pyrrhocorax pyrrhocorax","红嘴山鸦","Red-billed Chough","Chova piquirroja","10","0.24"
"Eudynamys scolopaceus","噪鹃","Asian Koel","Koel occidental","9","0.21"
"Picus chlorolophus","黄冠啄木鸟","Lesser Yellownape","Pito crestigualdo","9","0.21"
"Netta rufina","赤嘴潜鸭","Red-crested Pochard","Pato colorado","9","0.21"
"Cissa chinensis","蓝绿鹊","Common Green Magpie","Urraca verde","9","0.21"
"Myophonus caeruleus","紫啸鸫","Blue Whistling Thrush","Arrenga común","9","0.21"
